! ................ store .................    6.1.0010 CORE ............ 25
# ................ number-sign ...........    6.1.0030 CORE ............ 25
#> ............... number-sign-greater ...    6.1.0040 CORE ............ 25
#S ............... number-sign-s .........    6.1.0050 CORE ............ 25
BYE .............. ....................... 15.6.2.0830 TOOLS EXT ...... 114
CODE ............. ....................... 15.6.2.0930 TOOLS EXT ...... 114
CS-PICK .......... c-s-pick .............. 15.6.2.1015 TOOLS EXT ...... 114
CS-ROLL .......... c-s-roll .............. 15.6.2.1020 TOOLS EXT ...... 115
EDITOR ........... ....................... 15.6.2.1300 TOOLS EXT ...... 115
FORGET ........... ....................... 15.6.2.1580 TOOLS EXT ...... 115
STATE ............ ....................... 15.6.2.2250 TOOLS EXT ...... 115
[ELSE] ........... bracket-else .......... 15.6.2.2531 TOOLS EXT ...... 116
[IF] ............. bracket-if ............ 15.6.2.2532 TOOLS EXT ...... 116
[THEN] ........... bracket-then .......... 15.6.2.2533 TOOLS EXT ...... 116
DEFINITIONS ...... ....................... 16.6.1.1180 SEARCH ......... 119
FIND ............. ....................... 16.6.1.1550 SEARCH ......... 119
FORTH-WORDLIST ... ....................... 16.6.1.1595 SEARCH ......... 119
GET-CURRENT ...... ....................... 16.6.1.1643 SEARCH ......... 119
GET-ORDER ........ ....................... 16.6.1.1647 SEARCH ......... 119
SEARCH-WORDLIST .. ....................... 16.6.1.2192 SEARCH ......... 120
SET-CURRENT ...... ....................... 16.6.1.2195 SEARCH ......... 120
SET-ORDER ........ ....................... 16.6.1.2197 SEARCH ......... 120
WORDLIST ......... ....................... 16.6.1.2460 SEARCH ......... 120
ALSO ............. ....................... 16.6.2.0715 SEARCH EXT ..... 120
FORTH ............ ....................... 16.6.2.1590 SEARCH EXT ..... 120
ONLY ............. ....................... 16.6.2.1965 SEARCH EXT ..... 121
ORDER ............ ....................... 16.6.2.1985 SEARCH EXT ..... 121
PREVIOUS ......... ....................... 16.6.2.2037 SEARCH EXT ..... 121
-TRAILING ........ dash-trailing ......... 17.6.1.0170 STRING ......... 122
/STRING .......... slash-string .......... 17.6.1.0245 STRING ......... 123
BLANK ............ ....................... 17.6.1.0780 STRING ......... 123
CMOVE ............ c-move ................ 17.6.1.0910 STRING ......... 123
CMOVE> ........... c-move-up ............. 17.6.1.0920 STRING ......... 123
COMPARE .......... ....................... 17.6.1.0935 STRING ......... 124
SEARCH ........... ....................... 17.6.1.2191 STRING ......... 124
SLITERAL ......... ....................... 17.6.1.2212 STRING ......... 124
